,iid,intel,match
0,1,7.0,0
1,1,7.0,0
2,1,9.0,1
3,1,8.0,1
4,1,7.0,1
5,1,7.0,0
6,1,7.0,0
7,1,7.0,0
8,1,8.0,1
9,1,6.0,0
10,2,8.0,0
11,2,6.0,0
12,2,9.0,0
13,2,7.0,1
14,2,7.0,0
15,2,8.0,0
16,2,9.0,0
17,2,7.0,0
18,2,8.0,1
19,2,8.0,0
20,3,10.0,0
21,3,9.0,0
22,3,9.0,0
23,3,9.0,0
24,3,10.0,0
25,3,10.0,0
26,3,10.0,0
27,3,9.0,0
28,3,9.0,0
29,3,9.0,0
30,4,8.0,0
31,4,8.0,0
32,4,8.0,0
33,4,7.0,1
34,4,8.0,0
35,4,8.0,0
36,4,10.0,0
37,4,9.0,0
38,4,10.0,1
39,4,10.0,0
40,5,8.0,0
41,5,6.0,0
42,5,8.0,0
43,5,5.0,1
44,5,7.0,0
45,5,7.0,0
46,5,8.0,0
47,5,7.0,0
48,5,7.0,1
49,5,7.0,0
50,6,7.0,0
51,6,9.0,0
52,6,9.0,0
53,6,7.0,1
54,6,8.0,0
55,6,6.0,0
56,6,8.0,0
57,6,9.0,0
58,6,8.0,1
59,6,9.0,0
60,7,8.0,0
61,7,8.0,0
62,7,8.0,0
63,7,8.0,1
64,7,7.0,0
65,7,7.0,0
66,7,8.0,0
67,7,8.0,0
68,7,8.0,1
69,7,7.0,0
70,8,7.0,0
71,8,7.0,1
72,8,8.0,1
73,8,5.0,1
74,8,8.0,1
75,8,8.0,1
76,8,8.0,0
77,8,7.0,1
78,8,5.0,1
79,8,8.0,1
80,9,9.0,0
81,9,10.0,1
82,9,10.0,1
83,9,8.0,1
84,9,8.0,1
85,9,9.0,1
86,9,9.0,1
87,9,8.0,0
88,9,5.0,1
89,9,7.0,0
90,10,10.0,0
91,10,1.0,0
92,10,10.0,1
93,10,10.0,0
94,10,7.0,0
95,10,6.0,0
96,10,8.0,0
97,10,6.0,0
98,10,9.0,1
99,10,8.0,0
100,11,8.0,0
101,11,6.0,0
102,11,6.0,0
103,11,8.0,0
104,11,8.0,0
105,11,8.0,0
106,11,8.0,0
107,11,6.0,0
108,11,7.0,0
109,11,7.0,0
110,12,10.0,0
111,12,10.0,0
112,12,10.0,0
113,12,10.0,0
114,12,10.0,0
115,12,10.0,0
116,12,10.0,0
117,12,10.0,1
118,12,10.0,1
119,12,1.0,0
120,13,10.0,1
121,13,10.0,0
122,13,10.0,0
123,13,10.0,0
124,13,10.0,0
125,13,10.0,0
126,13,10.0,0
127,13,10.0,1
128,13,10.0,1
129,13,10.0,1
130,14,9.0,1
131,14,9.0,1
132,14,8.0,0
133,14,7.0,1
134,14,6.0,1
135,14,8.0,1
136,14,9.0,1
137,14,8.0,1
138,14,7.0,1
139,14,7.0,0
140,15,9.0,1
141,15,10.0,0
142,15,8.0,0
143,15,9.0,0
144,15,9.0,0
145,15,9.0,0
146,15,9.0,0
147,15,8.0,1
148,15,8.0,1
149,15,9.0,0
150,16,8.0,0
151,16,7.0,0
152,16,6.0,0
153,16,7.0,0
154,16,7.0,0
155,16,8.0,0
156,16,8.0,0
157,16,7.0,1
158,16,7.0,1
159,16,7.0,0
160,17,7.0,0
161,17,4.0,0
162,17,5.0,0
163,17,3.0,0
164,17,4.0,0
165,17,8.0,0
166,17,5.0,0
167,17,7.0,0
168,17,7.0,1
169,17,4.0,0
170,18,5.0,0
171,18,7.0,0
172,18,6.0,0
173,18,8.0,0
174,18,6.0,0
175,18,8.0,0
176,18,6.0,0
177,18,8.0,1
178,18,7.0,0
179,18,6.0,0
180,19,8.0,1
181,19,9.0,1
182,19,6.0,0
183,19,7.0,1
184,19,9.0,1
185,19,7.0,1
186,19,9.0,1
187,19,8.0,1
188,19,6.0,1
189,19,7.0,1
190,20,6.0,0
191,20,7.0,0
192,20,8.0,0
